今の気持ち,場所1,画像1,解説1,住所1,場所2,画像2,解説2,住所2
のんびり,光が丘公園,pic/002.jpg,光が丘団地に隣接する練馬区最大の公園。キャッチボール、サッカーなどボール遊びができる。近くにショッピングモールやレストランあり。,東京都練馬区光が丘４丁目１?１,久松湯,pic/003.jpg,"2014年５月に新装開店。美術館のような斬新な建築の銭湯。
大きな天然温泉の露天風呂、人工炭酸泉、電気マッサージ風呂、冷水風呂、冷水シャワー、サウナなどを設置。浴室でプロジェクションマッピングによる光の演出が楽しめる。",東京都練馬区桜台4丁目32-15
わくわく,石神井公園,pic/shakujiiーpark.jpg,２つの池を取り囲む緑あふれる公園。文豪や有名人が川のほとりの豪邸に住んでいる。なつかしのスワンボートに乗れる。池の周りを歩いて回ると自然を満喫できる。様々な鳥がいてバードウォッチングでも有名。,東京都練馬区石神井台１丁目２６?１,庭の湯,pic/niwanoーyu.jpg,"日本を代表する造園設計家、小形研三氏による1,200坪の清閑な日本庭園を臨む「豊島園 庭の湯」。
天然温泉をはじめ、健康促進に役立つバーデプールやサウナ、旬の味覚をお楽しみいただけるお食事処、日々の疲れを癒せるリラクゼーションエリアなど館内施設も充実している。
こだわりの大人の癒し空間で都会の喧噪を忘れ、やすらぎの時間を過ごすには最高の場所。",練馬区向山3丁目25-1
ほっこり,練馬城址公園,pic/nerimashoushi-park.jpg,"ハリーポッタースタジオツアー東京から、川沿いに5分程度歩くとある。
子供用の施設などもあり、芝生に座ったりゆったりできる。",東京都練馬区春日町１丁目,庭の湯,pic/niwanoーyu.jpg,"日本を代表する造園設計家、小形研三氏による1,200坪の清閑な日本庭園を臨む「豊島園 庭の湯」。
天然温泉をはじめ、健康促進に役立つバーデプールやサウナ、旬の味覚をお楽しみいただけるお食事処、日々の疲れを癒せるリラクゼーションエリアなど館内施設も充実している。
こだわりの大人の癒し空間で都会の喧噪を忘れ、やすらぎの時間を過ごすには最高の場所。",練馬区向山3丁目25-1
じんわり,喫茶タイムマシン,pic/kissa-timemachine.jpg,レトロ＆ポップな1980年代にロックオンできる、テーマパーク的喫茶店。,東京都練馬区栄町34-5,江古田湯,pic/ekoda-yu.jpg,昭和の時代にタイムスリップできる、昭和レトロな浴場。,東京都練馬区旭丘1丁目17-3 江古田マンション 1F
まったり,ぐすたふ珈琲,pic/gusutafu-coffee.jpg,アートや演劇人も愛する香りと空間。元スナックの色香漂う空間で、香り深き至福の一杯。,東京都練馬区旭丘1丁目56-13 ,そるとぴーなっつ,pic/saltpeanuts-bar.jpg,1980年にオープンした自転車持ち込み可のユニークなジャズバー。金曜日と土曜日は「そるとでジャズ・ライブ」と称して、個性豊かなメンバーによるジャズの生演奏を行っている。また、ジャムセッションや新人プレイヤーが集う変則バンド、注目のリーダーライブなど、レアなライブも多数企画、開催している。席数はカウンター8席・テーブル18席で、グランドピアノが設置され、本格的なサウンドが楽しめる。,東京都練馬区旭丘1丁目56-13
ときめき,練馬展望レストラン,pic/nerimatenbo-restaurant.jpg,練馬区役所20Fにある展望レストラン。練馬区在住の方以外には多分あまり知られていない穴場的なレストランではないでしょうか。展望台には以前訪れたことがあり、レストランが気になっていました。落ち着いていながら気取らない雰囲気で店員さんも感じ良く、窓側の席から夜景も綺麗に見えて楽しく過ごせました。,東京都練馬区豊玉北６-１２-１練馬区役所内２０Ｆ,トキワ荘マンガミュージアム,pic/tokiwaso-museum.jpg,かつて豊島区椎名町（現南長崎）にあったトキワ荘は、手塚治虫をはじめとするマンガの巨匠たちが住み集い、若き青春の日々を過ごした伝説のアパート。１９８２年１２月に解体されたが、多くの皆様のお力添えにより、マンガミュージアムとして開館した。当時の世界にタイムスリップできる。,東京都豊島区南長崎3-9-22南長崎花咲公園内
めらめら,春日町バッティングセンター,pic/kasugacho-batingcenter.jpg,バッティング練習に！運動不足・ストレスの解消に！200円から楽しめるレジャー。,東京都練馬区春日町2丁目14-11,志村電機珈琲焙煎所,pic/shimuradenki-coffee-baisenjo.jpg,電機店と珈琲焙煎所のコラボ。豊島園駅から歩いて行ける宝箱のような街喫茶。,東京都練馬区春日町1-11-1
どきどき,ガードレール×８,pic/ガードレール８.jpg,"不思議なガードレールを発見！
何かを大切に守っているように見える・・・。",練馬区小竹町１‐49,松屋 1号店（江古田店）,pic/松屋１号店（江古田店）.jpg,"外観は何の不思議も無いが、ここが全国千店を超す牛めし松屋の１号店である（1968年7月開店）。
店内には、１号店であることを示す掲示や開店当時の写真が掲出されている。",練馬区栄町34-1
ざわざわ,北町アーケード,pic/北町アーケード.jpg,昭和50年頃に誕生したアーケード街。電球の飾られたサインは昭和の香り。L字型のアーケード街の中には、居酒屋やスナックが軒を連ねる。昭和の雰囲気を色濃く残すわずか70ｍほどのエリアで、ディープな雰囲気を楽しんでみては。,練馬区北町２‐41,喫茶ボタン,pic/喫茶ボタン.jpg,昭和39年創業のレトロな喫茶店。テーブル型ゲーム機があり、なんと現在もプレイ可能！麻雀と花札のゲームを1回100円で遊ぶことができる。クリームソーダ、ナポリタン、卵サンドといった懐かしのメニューも充実。日替わりランチ(税込900円)も根強い人気。,練馬区北町2-39-2
しみじみ,石神井池遊歩道,pic/石神井公園遊歩道.jpg,"（池岸～アーチ橋～野外ステージ）
池を見ながら、ウッドデッキの遊歩道を歩いてみましょう。池に浮かぶ中の島ではアーチ橋を見ることができます。",東京都練馬区石神井台１丁目２６‐１,石神井公園ふるさと文化館,pic/石神井ふるさと文化館.jpg,石神井公園ふるさと文化館は、豊かな歴史や自然に恵まれた石神井公園に隣接する場所に、平成22（2010）年3月に開館しました。練馬区の歴史、伝統文化、自然などを紹介した博物館です。体験コーナーもあり、楽しく学ぶことができます。武蔵野うどんが食べられる休憩コーナーもあります。,東京都練馬区石神井台1丁目26-1
きらきら,大泉アニメゲート,pic/大泉アニメゲート.jpg,"駅北口ペデストリアンデッキに、練馬区ゆかりのアニメキャラの等身大ブロンズ像が4作品5体も！記念撮影ならキャラクターと並んで少しアオリ気味の撮影がオススメだよ！壁面にもアニメ年表など練馬アニメの歴史が満載。区民なら、一度はじっくり見物したい！
©手塚プロダクション 　©松本零士・東映アニメーション
©高森朝雄・ちばてつや／講談社　©高橋留美子／小学館",練馬区東大泉１‐28番地内,東映アニメーションミュージアム,pic/東映アニメーションミュージアム.jpg,東映アニメーション作品の製作資料など、アニメーターの息遣いが直接確認できる資料の他、壁一面のインタラクティブモニターでは、東映アニメーションが製作した作品を触れることで検索できる。みんなが夢中になった懐かしいアニメは大人にこそ味わってほしい！,馬区東大泉2-10-5
